编号,城市,名称,星级,评分,价格,销量,省/市/区,坐标,简介,是否免费,具体地址,星级编码,经度,纬度
0,上海,上海迪士尼乐园,1,0.7011357093665588,325.0,1.0,上海·上海·浦东新区,"121.667917,31.149712",每个女孩都有一场迪士尼梦,0,上海市浦东新区川沙镇黄赵路310号上海迪士尼乐园,0.0,121.667917,31.149712
1,上海,上海海昌海洋公园,4,0.7011357093665588,276.5,0.9972760446111939,上海·上海·浦东新区,"121.915647,30.917713",看珍稀海洋生物 | 玩超刺激娱乐项目,0,上海市浦东新区南汇城银飞路166号,0.75,121.915647,30.917713
2,上海,上海野生动物园,5,0.5758267677021128,116.0,0.34753559130390094,上海·上海·浦东新区,"121.728112,31.059636",全球动物聚集地 | 零距离和动物做朋友,0,上海市浦东新区南六公路178号,1.0,121.728112,31.059636
3,上海,东方绿舟,4,0.5455286796808351,40.0,0.2750167035000257,上海·上海·青浦区,"121.015977,31.107866",全国首屈一指的青少年校外教育营地,0,上海市青浦区沪青平公路6888号,0.75,121.015977,31.107866
4,上海,东方明珠,5,0.6364229437446681,54.0,0.20373130492881739,上海·上海·浦东新区,"121.50626,31.245369",感受云端漫步，品味老上海风情,0,上海市浦东新区世纪大道1号,1.0,121.50626,31.245369
5,上海,上海自然博物馆,1,0.5455286796808351,32.4,0.1662640694865601,上海·上海·静安区,"121.469083,31.241294",在这里领略物种的变迁,0,上海市静安区石门二路128号静安雕塑公园内,0.0,121.469083,31.241294
6,上海,上海佛罗伦萨小镇,3,0.7011357093665588,6.6,0.1377396309811379,上海·上海·浦东新区,"121.770767,31.202718",2015年1月开业，落户上海浦东，成为上海及周边江浙地区时尚爱好者的钟爱去处。上海佛罗伦萨小镇引进了超百家环球名品，包括,0,上海市浦东新区卓耀路58弄 （近地铁2号线远东大道站）,0.5,121.770767,31.202718
7,上海,上海科技馆,5,0.6061248557233906,45.0,0.10885542478285451,上海·上海·浦东新区,"121.54785,31.224219",魔都科普教育殿堂 | 周末遛娃圣地,0,上海市浦东新区世纪大道2000号(近二号线上海科技馆站),1.0,121.54785,31.224219
8,上海,豫园,4,0.7576152958297787,40.0,0.10798170324304877,上海·上海·黄浦区,"121.498971,31.233463",“奇秀甲于东南”、“东南名园冠”。,0,上海市黄浦区福佑路168号,0.75,121.498971,31.233463
9,上海,上海动物园,4,0.5758267677021128,39.6,0.08819448013568382,上海·上海·长宁区,"121.369411,31.199264",大型城市动物园 | 620余种可爱动物,0,上海市长宁区虹桥路2381号,0.75,121.369411,31.199264
