编号,城市,名称,星级,评分,价格,销量,省/市/区,坐标,简介,是否免费,具体地址
0,上海,上海迪士尼乐园,,0,325,19459,上海·上海·浦东新区,"121.667917,31.149712",每个女孩都有一场迪士尼梦,FALSE,上海市浦东新区川沙镇黄赵路310号上海迪士尼乐园
1,上海,上海海昌海洋公园,4 A,0,276.5,19406,上海·上海·浦东新区,"121.915647,30.917713",看珍稀海洋生物 | 玩超刺激娱乐项目,FALSE,上海市浦东新区南汇城银飞路166号
2,上海,上海野生动物园,5 A,3.6,116,6764,上海·上海·浦东新区,"121.728112,31.059636",全球动物聚集地 | 零距离和动物做朋友,FALSE,上海市浦东新区南六公路178号
3,上海,东方绿舟,4 A,3.5,40,5353,上海·上海·青浦区,"121.015977,31.107866",全国首屈一指的青少年校外教育营地,FALSE,上海市青浦区沪青平公路6888号
4,上海,东方明珠,5 A,3.8,54,3966,上海·上海·浦东新区,"121.50626,31.245369",感受云端漫步，品味老上海风情,FALSE,上海市浦东新区世纪大道1号
5,上海,上海自然博物馆,,3.5,32.4,3237,上海·上海·静安区,"121.469083,31.241294",在这里领略物种的变迁,FALSE,上海市静安区石门二路128号静安雕塑公园内
6,上海,上海佛罗伦萨小镇,3A,0,6.6,2682,上海·上海·浦东新区,"121.770767,31.202718",2015年1月开业，落户上海浦东，成为上海及周边江浙地区时尚爱好者的钟爱去处。上海佛罗伦萨小镇引进了超百家环球名品，包括,FALSE,上海市浦东新区卓耀路58弄 （近地铁2号线远东大道站）
7,上海,上海科技馆,5 A,3.7,45,2120,上海·上海·浦东新区,"121.54785,31.224219",魔都科普教育殿堂 | 周末遛娃圣地,FALSE,上海市浦东新区世纪大道2000号(近二号线上海科技馆站)
8,上海,豫园,4 A,4.2,40,2103,上海·上海·黄浦区,"121.498971,31.233463",“奇秀甲于东南”、“东南名园冠”。,FALSE,上海市黄浦区福佑路168号
9,上海,上海动物园,4 A,3.6,39.6,1718,上海·上海·长宁区,"121.369411,31.199264",大型城市动物园 | 620余种可爱动物,FALSE,上海市长宁区虹桥路2381号
10,上海,辰山植物园,,0,60,1654,上海·上海·佘山国家旅游度假区,"121.188507,31.080816",上海网红野餐地 | “莫奈花园”四季皆美,FALSE,上海市松江区辰花公路3888号
11,上海,黄浦江游览（十六铺码头）,,0,90,1576,上海·上海·黄浦区,"121.503083,31.234893",夜游黄浦江，霓虹交错，赏魔都繁华景象,FALSE,上海市黄浦区中山东二路481号B1层（十六铺码头一区）
12,上海,上海中心大厦上海之巅观光厅,,0,153,1212,上海·上海·浦东新区,"121.512867,31.239758",超高层地标式摩天大楼,FALSE,上海市浦东新区陆家嘴环路479号（近东泰路）
13,上海,东平国家森林公园,4 A,3.5,54.7,836,上海·上海·崇明岛,"121.487554,31.689225",在这里，你只需要深呼吸,FALSE,上海市崇明县北沿路2188号
14,上海,上海影视乐园,4 A,3.5,70,830,上海·上海·松江区,"121.319396,31.016693",中国十大影视基地之一 | 重回民国上海滩,FALSE,上海市松江区车墩镇北松公路4915号
15,上海,外滩,,5,40,762,上海·上海·黄浦区,"121.497854,31.240722",感受上海十里洋场的风景,FALSE,上海市黄浦区中山东一路（北至外白渡桥、南至十六铺码头）
16,上海,上海欢乐谷,4 A,3.6,228.9,750,上海·上海·松江区,"121.22218,31.102491",玩得就是心跳 | 各种刺激好玩娱乐项目,FALSE,上海市松江区佘山镇林湖路888号
17,上海,上海杜莎夫人蜡像馆,4 A,3.7,99,718,上海·上海·黄浦区,"121.480215,31.240715",走自己的红毯，与世界明星相遇,FALSE,上海市黄浦区南京西路2-68号新世界商厦10楼
